review_id,platform,category,rating,sentiment,date,review_text
REV01179,Amazon,Sports,1,negative,2023-08-01,Product is a complete scam. Nothing works as advertised. Ordered twice already.
REV00866,Swiggy,Pizza,2,negative,2025-07-05,Horrible taste. Nothing like what was shown in the pictures.
REV00102,Zomato,Indian,2,negative,2024-01-12,Terrible product. Stopped working after just 2 days of use. My family loves it.
REV00440,Zomato,Burgers,1,negative,2024-01-06,Received a damaged item and customer support was useless.
REV00059,Amazon,Clothing,4,neutral,2024-04-23,The product works fine but could be improved in some areas. Ordered twice already.
REV01121,Swiggy,Continental,5,positive,2022-09-09,Best biryani I've ever had. Highly recommend this restaurant. My family loves it.
REV00324,Swiggy,Chinese,5,positive,2022-04-14,5 stars! This is the best purchase I've made this year. Not worth the money at all.
REV00975,Swiggy,Desserts,5,positive,2025-09-11,5 stars! This is the best purchase I've made this year. Highly recommend!
REV00412,Amazon,Books,3,neutral,2023-08-20,"Food was average. Some items were tasty, some were not. Ordered twice already."
REV00856,Zomato,Biryani,5,positive,2022-02-16,"Crispy, hot and fresh! The fries were amazing. Very disappointed with this."
REV00821,Amazon,Clothing,2,negative,2023-02-18,Complete waste of money. The quality is very poor.
REV00045,Swiggy,Pizza,5,positive,2023-02-23,Very happy with this purchase. The quality is top-notch. Will update after more use.
REV00050,Swiggy,Indian,1,negative,2023-06-26,Never received my order. And no refund either. Scammers! Highly recommend!
REV00850,Swiggy,Burgers,1,negative,2023-05-20,Returned the product but didn't get any refund for weeks. Could be much better.
REV00241,Amazon,Books,5,positive,2024-07-08,"Good product, solid build quality, very happy with this purchase. Will update after more use."
REV00171,Zomato,Continental,4,neutral,2023-11-25,Nothing extraordinary. Just a regular experience. Will update after more use.
REV00524,Swiggy,Chinese,3,neutral,2022-07-25,The taste was fine but the presentation was disappointing. Highly recommend!
REV00766,Swiggy,Chinese,1,negative,2022-01-20,The product broke on the very first use. Pathetic quality. Very disappointed with this.
REV00839,Zomato,Continental,4,positive,2022-07-08,"The chicken was perfectly cooked, juicy and full of flavor. Will update after more use."
REV00424,Swiggy,Burgers,5,positive,2023-12-08,Item was well packed and exactly as shown in the listing. Highly recommend!
REV00381,Amazon,Books,2,neutral,2025-07-15,Middle of the road experience. Nothing special happened. Highly recommend!
REV00610,Amazon,Books,4,positive,2024-02-18,Absolutely loved this product! Exceeded all my expectations. Very disappointed with this.
REV00677,Swiggy,Biryani,1,negative,2023-02-26,Arrived 90 minutes late. By then the food was in a terrible state. Overall a good choice.
REV00345,Zomato,Continental,4,positive,2024-06-23,Great value for money. Works as advertised. Could be much better.
REV00110,Amazon,Home Appliances,5,positive,2024-08-27,Delivery was super quick and the packaging was excellent. Ordered twice already.
REV00278,Swiggy,Biryani,5,positive,2025-10-28,Super fast delivery and the item is exactly as described. Overall a good choice.
REV00678,Swiggy,Continental,2,negative,2025-08-17,Extremely salty food. Couldn't eat more than one bite. My family loves it.
REV00571,Swiggy,Continental,5,positive,2022-04-26,Very impressed with the quality. Packaging was also very good. Ordered twice already.
REV00359,Swiggy,Chinese,1,negative,2022-10-14,The product broke on the very first use. Pathetic quality.
REV00599,Amazon,Clothing,1,negative,2024-09-29,Terrible product. Stopped working after just 2 days of use. Highly recommend!
REV00391,Swiggy,Continental,3,neutral,2024-12-17,Product arrived in decent shape. Does what it says. Overall a good choice.
REV00894,Swiggy,Continental,5,positive,2022-11-29,"The food was absolutely delicious, fresh and hot on arrival! Highly recommend!"
REV00693,Amazon,Clothing,1,negative,2024-09-22,Worst purchase ever. Do not buy this garbage. Ordered twice already.
REV00728,Amazon,Home Appliances,5,positive,2024-04-16,"Wow, just wow! The product blew my mind completely. Could be much better."
REV00363,Zomato,Desserts,1,negative,2024-12-10,Never received my order. And no refund either. Scammers! My family loves it.
REV00597,Swiggy,Biryani,5,positive,2023-10-10,Best biryani I've ever had. Highly recommend this restaurant. Highly recommend!
REV00428,Zomato,Desserts,4,positive,2025-10-18,"Crispy, hot and fresh! The fries were amazing. Overall a good choice."
REV00071,Amazon,Home Appliances,1,negative,2023-03-07,The product broke on the very first use. Pathetic quality. Will update after more use.
REV00322,Amazon,Home Appliances,5,positive,2025-09-05,Loved the food quality. Perfect spice level and very fresh. Very disappointed with this.
REV00653,Amazon,Home Appliances,1,negative,2024-09-10,Returned the product but didn't get any refund for weeks. Could be much better.
REV01066,Swiggy,Chinese,5,positive,2023-06-18,Amazing quality for the price. Will definitely buy again! Very disappointed with this.
REV00108,Swiggy,Biryani,4,positive,2025-02-11,Best biryani I've ever had. Highly recommend this restaurant. Very disappointed with this.
REV01109,Amazon,Beauty,3,neutral,2022-07-22,Decent product overall. Would maybe try alternatives next time. Overall a good choice.
REV00356,Swiggy,Continental,1,negative,2022-03-07,Received a damaged item and customer support was useless. Overall a good choice.
